 Vendor,Fund,Check #,Date,Amount
PUBLIC WORKS DEPT REFUND ONE TIME PAY,82 STREETS/BRIDGES FUND,579377,2026-04-09T00:00:00.000,7958.00
PUBLIC WORKS DEPT REFUND ONE TIME PAY,83 STORM DRAINAGE SYSTEM FUND,579377,2026-04-09T00:00:00.000,199729.00
AR/BL REFUND ONE TIME PAY VENDOR,WATER - OPERATIONS,579317,2026-04-09T00:00:00.000,10.00
AR/BL REFUND ONE TIME PAY VENDOR,WATER - OPERATIONS,579314,2026-04-09T00:00:00.000,221.98
AR/BL REFUND ONE TIME PAY VENDOR,PAYROLL TRUST,579318,2026-04-09T00:00:00.000,159.78
AR/BL REFUND ONE TIME PAY VENDOR,WATER - OPERATIONS,579315,2026-04-09T00:00:00.000,257.55
AR/BL REFUND ONE TIME PAY VENDOR,PAYROLL TRUST,579319,2026-04-09T00:00:00.000,103.89
AR/BL REFUND ONE TIME PAY VENDOR,CDBG GRANT - ENTITLEMENT,579313,2026-04-09T00:00:00.000,511.60
AR/BL REFUND ONE TIME PAY VENDOR,HOUSING VOUCHERS ADMIN - SCHA,579316,2026-04-09T00:00:00.000,13.70
MTC,TRANST - NAPA/SOLANO CLPR PRGM,579368,2026-04-09T00:00:00.000,1362.40
JNG PIPELINE CONSTRUCTION INC,SEWER - CIP MASTER FUND,579353,2026-04-09T00:00:00.000,24985.00
MICHAEL K NUNLEY & ASSOCIATES INC,WATER - UTILITY CIP MASTER,579286,2026-04-09T00:00:00.000,75260.75
MICHAEL K NUNLEY & ASSOCIATES INC,WATER - UTILITY CIP MASTER,579286,2026-04-09T00:00:00.000,81960.35
ATEC WATER SYSTEMS LLC,WATER - UTILITY CIP MASTER,579320,2026-04-09T00:00:00.000,61383.41
"BACKFLOW APPARATUS & VALVE CO., INC",WATER - OPERATIONS,579321,2026-04-09T00:00:00.000,364.55
"HEIMBURGER & COMPANY, INC",SEWER - OPERATIONS,579276,2026-04-09T00:00:00.000,9733.66
MOMAR INCORPORATED,SEWER - OPERATIONS,579366,2026-04-09T00:00:00.000,19651.96
WOODLAND WINDUSTRIAL CO,WATER - OPERATIONS,579303,2026-04-09T00:00:00.000,322.08
WOODLAND WINDUSTRIAL CO,WATER - OPERATIONS,579303,2026-04-09T00:00:00.000,231.89
KB TRUCKING,WATER - OPERATIONS,579355,2026-04-09T00:00:00.000,5122.60
PLATT ELECTRIC SUPPLY,WATER - UTILITY CIP MASTER,579376,2026-04-09T00:00:00.000,40.15
CALMAT CO.,WATER - OPERATIONS,579301,2026-04-09T00:00:00.000,1959.34
CALMAT CO.,WATER - OPERATIONS,579403,2026-04-09T00:00:00.000,1566.16
"RYAN PROCESS, INC",SEWER - CIP MASTER FUND,579385,2026-04-09T00:00:00.000,5723.84
"RYAN PROCESS, INC",WATER - OPERATIONS,579385,2026-04-09T00:00:00.000,6954.51
"FRISCH ENGINEERING, INC.",SEWER - DEVELOPER FUNDED CAP,579342,2026-04-09T00:00:00.000,5055.00
"WECO INDUSTRIES, LLC",SEWER - OPERATIONS,579302,2026-04-09T00:00:00.000,863.36
"WECO INDUSTRIES, LLC",SEWER - OPERATIONS,579302,2026-04-09T00:00:00.000,4435.01
"DC FROST ASSOCIATES, INC",SEWER - OPERATIONS,579335,2026-04-09T00:00:00.000,766.52
SOLANO WATER AUTHORITY,WATER - OPERATIONS,579391,2026-04-09T00:00:00.000,1781.47
"SOLANO RESOURCE CONSERVATION DISTRICT, RCD",SEWER - OPERATIONS,579390,2026-04-09T00:00:00.000,6361.41
"SOLANO RESOURCE CONSERVATION DISTRICT, RCD",SEWER - OPERATIONS,579390,2026-04-09T00:00:00.000,1252.38
"SOLANO RESOURCE CONSERVATION DISTRICT, RCD",SEWER - OPERATIONS,579390,2026-04-09T00:00:00.000,584.13
"SOLANO RESOURCE CONSERVATION DISTRICT, RCD",SEWER - OPERATIONS,579390,2026-04-09T00:00:00.000,348.75
SOLANO COUNTY WATER AGENCY,WATER - OPERATIONS,579296,2026-04-09T00:00:00.000,471833.50
MCMASTER-CARR SUPPLY CO,WATER - UTILITY CIP MASTER,579284,2026-04-09T00:00:00.000,154.98
MCMASTER-CARR SUPPLY CO,SEWER - OPERATIONS,579284,2026-04-09T00:00:00.000,192.50
MCMASTER-CARR SUPPLY CO,SEWER - OPERATIONS,579284,2026-04-09T00:00:00.000,45.85
MCMASTER-CARR SUPPLY CO,WATER - OPERATIONS,579284,2026-04-09T00:00:00.000,526.16
LUHDORFF & SCALMANINI CONSULTING ENGINEERS INC,WATER - UTILITY CIP MASTER,579361,2026-04-09T00:00:00.000,6203.50
LUHDORFF & SCALMANINI CONSULTING ENGINEERS INC,WATER - UTILITY CIP MASTER,579361,2026-04-09T00:00:00.000,29570.50
LUHDORFF & SCALMANINI CONSULTING ENGINEERS INC,WATER - UTILITY CIP MASTER,579361,2026-04-09T00:00:00.000,54991.70
HARRINGTON INDUSTRIAL PLASTICS LLC,WATER - OPERATIONS,579350,2026-04-09T00:00:00.000,100.25
HARRINGTON INDUSTRIAL PLASTICS LLC,WATER - OPERATIONS,579350,2026-04-09T00:00:00.000,1000.00
HARRINGTON INDUSTRIAL PLASTICS LLC,WATER - OPERATIONS,579350,2026-04-09T00:00:00.000,743.84
HARRINGTON INDUSTRIAL PLASTICS LLC,SEWER - OPERATIONS,579350,2026-04-09T00:00:00.000,180.05
HACH COMPANY,WATER - OPERATIONS,579275,2026-04-09T00:00:00.000,391.15
HACH COMPANY,WATER - OPERATIONS,579275,2026-04-09T00:00:00.000,243.39
"FAIRFIELD, CITY OF",WATER - UTILITY CIP MASTER,579340,2026-04-09T00:00:00.000,45435.00
"FAIRFIELD, CITY OF",WATER - OPERATIONS,579340,2026-04-09T00:00:00.000,299876.00
"FERGUSON ENTERPRISES, INC.",WATER - OPERATIONS,579272,2026-04-09T00:00:00.000,1149.15
TOP YOUTH SPEAKERS LLC,AIM GRANT,579398,2026-04-09T00:00:00.000,6000.00
"COUNTRY GARDEN APARTMENTS VACAVILLE, LLC",GENERAL FUND - MEASURE M,579332,2026-04-09T00:00:00.000,892.50
WILLOWS APARTMENTS,KAISER PERMANENTE SHHFP,579404,2026-04-09T00:00:00.000,750.00
VACAVILLE DEPOT LIMITED,GENERAL FUND - MEASURE M,579359,2026-04-09T00:00:00.000,1000.00
MES I ACQUISITION INC.,GENERAL FUND,579285,2026-04-09T00:00:00.000,176.58
MES I ACQUISITION INC.,GENERAL FUND,579285,2026-04-09T00:00:00.000,290.79
HUNT & SONS LLC,GENERAL FUND,579278,2026-04-09T00:00:00.000,1789.58
HUNT & SONS LLC,GENERAL FUND,579278,2026-04-09T00:00:00.000,3858.85
HUNT OIL OF CALIFORNIA,GENERAL FUND,579279,2026-04-09T00:00:00.000,276.82
"AIRGAS, INC",GENERAL FUND,579257,2026-04-09T00:00:00.000,47.10
"SHAW LAW GROUP, PC",GENERAL FUND,579387,2026-04-09T00:00:00.000,8460.00
ORBACH HUFF & HENDERSON LLP,GENERAL LIABILITY INSURANCE,579372,2026-04-09T00:00:00.000,4829.14
OPPENHEIMER INVESTIGATIONS GROUP LLP,GENERAL LIABILITY INSURANCE,579371,2026-04-09T00:00:00.000,430.00
BEST BEST & KRIEGER LLP,GENERAL FUND,579322,2026-04-09T00:00:00.000,304.00
WEST PUBLISHING CORPORATION,GENERAL FUND,579396,2026-04-09T00:00:00.000,2175.61
DAVID REUBEN,GENERAL FUND,579268,2026-04-09T00:00:00.000,1300.00
CHANCELLOR PRINTING,GENERAL FUND,579265,2026-04-09T00:00:00.000,74.61
DEWBERRY ARCHITECTS INC.,81 PUBLIC BLDGS/GROUNDS FUND,579336,2026-04-09T00:00:00.000,785.00
"CANON FINANCIAL SERVICES, INC",ENGINEERING SERVICES,579264,2026-04-09T00:00:00.000,737.95
"CANON FINANCIAL SERVICES, INC",GENERAL FUND,579264,2026-04-09T00:00:00.000,245.98
BKF ENGINEERS,82 STREETS/BRIDGES FUND,579261,2026-04-09T00:00:00.000,60308.44
"CALIFORNIA, STATE OF SWRCB WATER RESOURCE BRD",82 STREETS/BRIDGES FUND,579326,2026-04-09T00:00:00.000,44971.00
BLUEPRINT EXPRESS CORPORATION,WATER - UTILITY CIP MASTER,579262,2026-04-09T00:00:00.000,1905.91
BLUEPRINT EXPRESS CORPORATION,82 STREETS/BRIDGES FUND,579262,2026-04-09T00:00:00.000,765.43
BLUEPRINT EXPRESS CORPORATION,82 STREETS/BRIDGES FUND,579262,2026-04-09T00:00:00.000,592.32
MCCI LLC,GENERAL FUND,579362,2026-04-09T00:00:00.000,3420.00
"EN ENGINEERING, LLC",CMO MISC GRANTS,579337,2026-04-09T00:00:00.000,5260.83
SHI INTERNATIONAL CORP,TECHNOLOGY REPLACEMENT,579388,2026-04-09T00:00:00.000,25571.23
"AMS.NET, LLC",TECHNOLOGY REPLACEMENT,579365,2026-04-09T00:00:00.000,4450.00
"AMS.NET, LLC",TECHNOLOGY REPLACEMENT,579365,2026-04-09T00:00:00.000,1700.00
"AMS.NET, LLC",TECHNOLOGY REPLACEMENT,579365,2026-04-09T00:00:00.000,4787.50
"GEORGE HILLS COMPANY, INC.",GENERAL LIABILITY INSURANCE,579273,2026-04-09T00:00:00.000,6666.66
DELL MARKETING LP,PEG - CAPITAL SUPPORT,579267,2026-04-09T00:00:00.000,11325.44
CJPRMA,GENERAL LIABILITY INSURANCE,579330,2026-04-09T00:00:00.000,428.00
CJPRMA,GENERAL LIABILITY INSURANCE,579330,2026-04-09T00:00:00.000,406.00
B & H PHOTO VIDEO,PEG - CAPITAL SUPPORT,579258,2026-04-09T00:00:00.000,15.31
B & H PHOTO VIDEO,PEG - CAPITAL SUPPORT,579258,2026-04-09T00:00:00.000,555.45
B & H PHOTO VIDEO,PEG - CAPITAL SUPPORT,579258,2026-04-09T00:00:00.000,30.08
B & H PHOTO VIDEO,PEG - CAPITAL SUPPORT,579258,2026-04-09T00:00:00.000,785.52
B & H PHOTO VIDEO,PEG - CAPITAL SUPPORT,579258,2026-04-09T00:00:00.000,357.01
B & H PHOTO VIDEO,PEG - CAPITAL SUPPORT,579258,2026-04-09T00:00:00.000,732.23
GARDEN ARTISANS LLC,84 PARKS & RECREATION FUND,579344,2026-04-09T00:00:00.000,8192.50
CASTLE & KING,GENERAL FUND,579327,2026-04-09T00:00:00.000,294.28
CASTLE & KING,GENERAL FUND,579327,2026-04-09T00:00:00.000,200.81
CASTLE & KING,GENERAL FUND,579327,2026-04-09T00:00:00.000,343.34
CASTLE & KING,GENERAL FUND,579327,2026-04-09T00:00:00.000,243.44
HAMILTON TREE SERVICE INC.,GENERAL FUND,579349,2026-04-09T00:00:00.000,24950.00
